Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Underhood ID	Veh Class	Air Pollution Score	FE Calc Appr	City MPG	Hwy MPG	Cmb MPG	Unadj Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.5	(6 cyl)	Auto-L5	4WD	Gasoline	CA	U2	6HNXT03.5RKR	SUV	7	N/A	15	21	17	22.0996	4	no
ACURA MDX	3.5	(6 cyl)	Auto-L5	4WD	Gasoline	FA	B5	6HNXT03.5RKR	SUV	6	N/A	15	21	17	22.0996	4	no
ACURA RL	3.5	(6 cyl)	Auto-S5	4WD	Gasoline	CA	U2	6HNXV03.5MKR	midsize car	7	N/A	16	24	19	24.5629	5	no
ACURA RL	3.5	(6 cyl)	Auto-S5	4WD	Gasoline	FA	B5	6HNXV03.5MKR	midsize car	6	N/A	16	24	19	24.5629	5	no
ACURA RSX	2	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	20	28	23	30.1564	7	yes
ACURA RSX	2	(4 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	22	31	25	33.294	7	yes
ACURA RSX	2	(4 cyl)	Man-5	2WD	Gasoline	FA	B5	6HNXV02.0DKC	small car	6	N/A	24	31	26	35.1065	8	yes
ACURA RSX	2	(4 cyl)	Man-6	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	20	28	23	30.1564	7	yes
ACURA RSX	2	(4 cyl)	Auto-S5	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	22	31	25	33.294	7	yes
ACURA RSX	2	(4 cyl)	Man-5	2WD	Gasoline	CA	L2	6HNXV02.0DKC	small car	6	N/A	24	31	26	35.1065	8	yes
ACURA TL	3.2	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6HNXV03.2NKR	midsize car	7	N/A	18	26	21	27.0005	6	yes
ACURA TL	3.2	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6HNXV03.2NKR	midsize car	7	N/A	18	26	21	27.3175	6	yes
ACURA TL	3.2	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV03.2NKR	midsize car	6	N/A	18	26	21	27.0005	6	no
ACURA TL	3.2	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV03.2NKR	midsize car	6	N/A	18	26	21	27.3175	6	no
ACURA TSX	2.4	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6HNXV02.4FKC	small car	6	N/A	19	28	22	29.0566	6	no
ACURA TSX	2.4	(4 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6HNXV02.4FKC	small car	6	N/A	20	28	23	29.9192	7	yes
ACURA TSX	2.4	(4 cyl)	Man-6	2WD	Gasoline	CA	L2	6HNXV02.4FKC	small car	6	N/A	19	28	22	29.0566	6	no
ACURA TSX	2.4	(4 cyl)	Auto-S5	2WD	Gasoline	CA	L2	6HNXV02.4FKC	small car	6	N/A	20	28	23	29.9192	7	yes
ASTON MARTIN DB9	5.9	(12 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	11	18	13	16.9826	1	no
ASTON MARTIN DB9	5.9	(12 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	11	18	13	16.9826	1	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ASXV05.9803	small car	6	N/A	11	17	13	17.0071	1	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	10	16	12	15.625	0	no
ASTON MARTIN DB9 Volante	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	CA	L2	6ASXV05.9803	small car	6	N/A	11	17	13	17.0071	1	no
ASTON MARTIN V12 Vanquish S	5.9	(12 cyl)	Auto-S6	2WD	Gasoline	FC	B7	6ASXV05.9V03	small car	4	N/A	10	16	12	15.1931	0	no
ASTON MARTIN V8 Vantage	4.3	(8 cyl)	Man-6	2WD	Gasoline	FA	B5	6ASXV04.3305	small car	6	N/A	12	17	14	17.5767	2	no
ASTON MARTIN V8 Vantage	4.3	(8 cyl)	Man-6	2WD	Gasoline	CA	L2	6ASXV04.3305	small car	6	N/A	12	17	14	17.5767	2	no
AUDI A3	2	(4 cyl)	Man-6	2WD	Gasoline	CA	U2	6ADXV02.0366	station wagon	7	N/A	21	29	24	31.0679	7	yes
AUDI A3	2	(4 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6ADXV02.0366	station wagon	7	N/A	22	29	25	32.3758	7	yes
AUDI A3	2	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6ADXV02.0366	station wagon	6	N/A	21	29	24	31.0679	7	yes
AUDI A3	2	(4 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6ADXV02.0366	station wagon	6	N/A	22	29	25	32.3758	7	yes
AUDI A3	3.2	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6VWXV03.2535	station wagon	6	N/A	18	25	21	27.2385	6	no
AUDI A3	3.2	(6 cyl)	Auto-S6	4WD	Gasoline	CA	L2	6VWXV03.2535	station wagon	6	N/A	18	25	21	27.2385	6	no
AUDI A4	2	(4 cyl)	Auto-S6	4WD	Gasoline	CA	U2	6ADXV02.0352	small car	7	N/A	19	27	22	28.9793	6	yes
AUDI A4	2	(4 cyl)	Man-6	4WD	Gasoline	CA	U2	6ADXV02.0352	small car	7	N/A	20	28	23	29.6042	7	yes
AUDI A4	2	(4 cyl)	Man-6	2WD	Gasoline	CA	U2	6ADXV02.0352	small car	7	N/A	20	31	24	31.4411	7	yes
AUDI A4	2	(4 cyl)	Auto-AV	2WD	Gasoline	CA	U2	6ADXV02.0352	small car	7	N/A	21	30	24	31.8303	7	yes
AUDI A4	2	(4 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV02.0352	small car	6	N/A	19	27	22	28.9793	6	no
AUDI A4	2	(4 cyl)	Man-6	4WD	Gasoline	FA	B5	6ADXV02.0352	small car	6	N/A	20	28	23	29.6042	7	yes
AUDI A4	2	(4 cyl)	Man-6	2WD	Gasoline	FA	B5	6ADXV02.0352	small car	6	N/A	20	31	24	31.4411	7	yes
AUDI A4	2	(4 cyl)	Auto-AV	2WD	Gasoline	FA	B5	6ADXV02.0352	small car	6	N/A	21	30	24	31.8303	7	yes
AUDI A4	3.1	(6 cyl)	Man-6	4WD	Gasoline	FA	B5	6ADXV03.1374	small car	6	N/A	15	25	19	23.9213	5	no
AUDI A4	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV03.1374	small car	6	N/A	17	25	20	25.5882	6	no
AUDI A4	3.1	(6 cyl)	Auto-AV	2WD	Gasoline	FA	B5	6ADXV03.1374	small car	6	N/A	18	27	21	27.8592	6	no
AUDI A4	3.1	(6 cyl)	Man-6	4WD	Gasoline	CA	L2	6ADXV03.1374	small car	6	N/A	15	25	19	23.9213	5	no
AUDI A4	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	L2	6ADXV03.1374	small car	6	N/A	17	25	20	25.5882	6	no
AUDI A4	3.1	(6 cyl)	Auto-AV	2WD	Gasoline	CA	L2	6ADXV03.1374	small car	6	N/A	18	27	21	27.8592	6	no
AUDI A4	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV03.1364	small car	2	N/A	17	25	20	25.5882	6	no
AUDI A4	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV03.1364	small car	2	N/A	17	25	20	25.5882	6	no
AUDI A4 Avant	2	(4 cyl)	Auto-S6	4WD	Gasoline	CA	U2	6ADXV02.0352	station wagon	7	N/A	19	27	22	28.9793	6	yes
AUDI A4 Avant	2	(4 cyl)	Man-6	4WD	Gasoline	CA	U2	6ADXV02.0352	station wagon	7	N/A	20	28	23	29.6042	7	yes
AUDI A4 Avant	2	(4 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV02.0352	station wagon	6	N/A	19	27	22	28.9793	6	no
AUDI A4 Avant	2	(4 cyl)	Man-6	4WD	Gasoline	FA	B5	6ADXV02.0352	station wagon	6	N/A	20	28	23	29.6042	7	yes
AUDI A4 Avant	3.1	(6 cyl)	Man-6	4WD	Gasoline	FA	B5	6ADXV03.1374	station wagon	6	N/A	15	25	19	23.9213	5	no
AUDI A4 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV03.1374	station wagon	6	N/A	17	25	20	25.5882	6	no
AUDI A4 Avant	3.1	(6 cyl)	Man-6	4WD	Gasoline	CA	L2	6ADXV03.1374	station wagon	6	N/A	15	25	19	23.9213	5	no
AUDI A4 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	L2	6ADXV03.1374	station wagon	6	N/A	17	25	20	25.5882	6	no
AUDI A4 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV03.1364	station wagon	2	N/A	17	25	20	25.5882	6	no
AUDI A4 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV03.1364	station wagon	2	N/A	17	25	20	25.5882	6	no
AUDI A4 Cabriolet	3	(6 cyl)	Auto-S5	4WD	Gasoline	FA	B5	6ADXV03.0354	small car	6	N/A	16	23	18	23.9255	5	no
AUDI A4 Cabriolet	3	(6 cyl)	Auto-S5	4WD	Gasoline	CA	L2	6ADXV03.0354	small car	6	N/A	16	23	18	23.9255	5	no
AUDI A4 Cabriolet	1.8	(4 cyl)	Auto-AV	2WD	Gasoline	FC	B8	6ADXV01.8342	small car	3	N/A	20	28	23	30.0963	7	no
AUDI A6	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV03.1374	midsize car	6	N/A	17	25	20	25.5882	6	no
AUDI A6	3.1	(6 cyl)	Auto-AV	2WD	Gasoline	FA	B5	6ADXV03.1374	midsize car	6	N/A	18	27	21	27.8592	6	no
AUDI A6	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	L2	6ADXV03.1374	midsize car	6	N/A	17	25	20	25.5882	6	no
AUDI A6	3.1	(6 cyl)	Auto-AV	2WD	Gasoline	CA	L2	6ADXV03.1374	midsize car	6	N/A	18	27	21	27.8592	6	no
AUDI A6	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV03.1364	midsize car	2	N/A	17	25	20	25.5882	6	no
AUDI A6	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV03.1364	midsize car	2	N/A	17	25	20	25.5882	6	no
AUDI A6	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	midsize car	2	N/A	15	21	18	22.859	5	no
AUDI A6	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	midsize car	2	N/A	15	21	18	22.859	5	no
AUDI A6 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B5	6ADXV03.1374	station wagon	6	N/A	16	24	19	24.6266	5	no
AUDI A6 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	L2	6ADXV03.1374	station wagon	6	N/A	16	24	19	24.6266	5	no
AUDI A6 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV03.1364	station wagon	2	N/A	16	24	19	24.6266	5	no
AUDI A6 Avant	3.1	(6 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV03.1364	station wagon	2	N/A	16	24	19	24.6266	5	no
AUDI A8	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	midsize car	2	N/A	16	22	18	23.3789	5	no
AUDI A8	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	midsize car	2	N/A	16	22	18	23.3789	5	no
AUDI A8 L	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	large car	2	N/A	16	22	18	23.3789	5	no
AUDI A8 L	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	large car	2	N/A	16	22	18	23.3789	5	no
AUDI A8 L	6	(12 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV06.0349	large car	2	N/A	13	19	15	19.6647	3	no
AUDI A8 L	6	(12 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV06.0349	large car	2	N/A	13	19	15	19.6647	3	no
AUDI S4	4.2	(8 cyl)	Man-6	4WD	Gasoline	FA	B9	6ADXV04.2345	small car	2	N/A	13	20	16	20.0598	4	no
AUDI S4	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	small car	2	N/A	14	21	16	21.0459	4	no
AUDI S4	4.2	(8 cyl)	Man-6	4WD	Gasoline	CA	LEV	6ADXV04.2345	small car	2	N/A	13	20	16	20.0598	4	no
AUDI S4	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	small car	2	N/A	14	21	16	21.0459	4	no
AUDI S4 Avant	4.2	(8 cyl)	Man-6	4WD	Gasoline	FA	B9	6ADXV04.2345	station wagon	2	N/A	13	20	16	20.0598	4	no
AUDI S4 Avant	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	station wagon	2	N/A	14	21	16	21.0459	4	no
AUDI S4 Avant	4.2	(8 cyl)	Man-6	4WD	Gasoline	CA	LEV	6ADXV04.2345	station wagon	2	N/A	13	20	16	20.0598	4	no
AUDI S4 Avant	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	station wagon	2	N/A	14	21	16	21.0459	4	no
AUDI S4 Cabriolet	4.2	(8 cyl)	Man-6	4WD	Gasoline	FA	B9	6ADXV04.2345	small car	2	N/A	13	20	16	20.0491	4	no
AUDI S4 Cabriolet	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6ADXV04.2345	small car	2	N/A	14	20	16	20.6123	4	no
AUDI S4 Cabriolet	4.2	(8 cyl)	Man-6	4WD	Gasoline	CA	LEV	6ADXV04.2345	small car	2	N/A	13	20	16	20.0491	4	no
AUDI S4 Cabriolet	4.2	(8 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6ADXV04.2345	small car	2	N/A	14	20	16	20.6123	4	no
AUDI TT Coupe	1.8	(4 cyl)	Man-6	4WD	Gasoline	FA	B9	6ADXV01.8346	small car	2	N/A	18	26	21	26.9534	6	no
AUDI TT Coupe	1.8	(4 cyl)	Auto-S6	2WD	Gasoline	FA	B9	6ADXV01.8346	small car	2	N/A	18	27	21	27.825	6	no
AUDI TT Coupe	3.2	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6VWXV03.2220	small car	2	N/A	17	24	20	25.3702	6	no
AUDI TT Roadster	1.8	(4 cyl)	Auto-S6	2WD	Gasoline	FA	B9	6ADXV01.8346	small car	2	N/A	18	26	21	26.7159	6	no
AUDI TT Roadster	1.8	(4 cyl)	Man-6	4WD	Gasoline	FA	B9	6ADXV01.8346	small car	2	N/A	18	26	21	26.9534	6	no
AUDI TT Roadster	3.2	(6 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6VWXV03.2220	small car	2	N/A	17	23	19	24.7199	5	no
BENTLEY Arnage	6.8	(8 cyl)	Auto-L4	2WD	Gasoline	FA	B9	6BEXV06.7TTC	large car	2	N/A	9	13	11	13.7922	0	no
BENTLEY Arnage	6.8	(8 cyl)	Auto-L4	2WD	Gasoline	FA	B9	6BEXV06.7TTC	midsize car	2	N/A	9	13	11	13.7922	0	no
BENTLEY Arnage	6.8	(8 cyl)	Auto-L4	2WD	Gasoline	CA	LEV	6BEXV06.7TTC	large car	2	N/A	9	13	11	13.7922	0	no
BENTLEY Arnage	6.8	(8 cyl)	Auto-L4	2WD	Gasoline	CA	LEV	6BEXV06.7TTC	midsize car	2	N/A	9	13	11	13.7922	0	no
BENTLEY Continental Flying Spur	6	(12 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6BEXV06.0501	midsize car	2	N/A	10	17	12	15.5154	0	no
BENTLEY Continental Flying Spur	6	(12 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6BEXV06.0501	midsize car	2	N/A	10	17	12	15.5154	0	no
BENTLEY Continental GT	6	(12 cyl)	Auto-S6	4WD	Gasoline	FA	B9	6BEXV06.0501	small car	2	N/A	10	17	13	16.1613	1	no
BENTLEY Continental GT	6	(12 cyl)	Auto-S6	4WD	Gasoline	CA	LEV	6BEXV06.0501	small car	2	N/A	10	17	13	16.1613	1	no
BMW 325ci	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	CA	S2	6BMXV02.5M56	small car	9.5	N/A	17	25	20	26.0899	6	yes
BMW 325ci	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	17	25	20	26.0899	6	yes
BMW 325ci	2.5	(6 cyl)	Man-5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	18	27	21	27.593	6	yes
BMW 325ci	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	17	25	20	26.0899	6	no
BMW 325ci	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6BMXV02.5M56	small car	6	N/A	17	25	20	26.0899	6	no
BMW 325ci	2.5	(6 cyl)	Man-5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	18	27	21	27.593	6	no
BMW 325ci Convertible	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	16	24	19	24.9354	5	no
BMW 325ci Convertible	2.5	(6 cyl)	Man-5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	17	25	20	25.3256	6	yes
BMW 325ci Convertible	2.5	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	16	24	19	24.9354	5	no
BMW 325ci Convertible	2.5	(6 cyl)	Man-5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	17	25	20	25.3256	6	no
BMW 325i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	27	21	27.7593	6	yes
BMW 325i	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	28	21	27.647	6	yes
BMW 325i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	27	21	27.7593	6	no
BMW 325i	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	28	21	27.647	6	no
BMW 325xi	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	17	26	20	26.243	6	yes
BMW 325xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	25	20	26.4103	6	yes
BMW 325xi	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	17	26	20	26.243	6	no
BMW 325xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	25	20	26.4103	6	no
BMW 325xi Sport Wagon	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	station wagon	7	N/A	17	26	20	26.243	6	yes
BMW 325xi Sport Wagon	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	station wagon	7	N/A	18	25	20	26.4103	6	yes
BMW 325xi Sport Wagon	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	station wagon	6	N/A	17	26	20	26.243	6	no
BMW 325xi Sport Wagon	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	station wagon	6	N/A	18	25	20	26.4103	6	no
BMW 330ci	3	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	17	24	20	25.3438	6	yes
BMW 330ci	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	18	28	21	27.5931	6	yes
BMW 330ci	3	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	17	24	20	25.3438	6	no
BMW 330ci	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	18	28	21	27.5931	6	no
BMW 330ci Convertible	3	(6 cyl)	Auto-S5	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	16	23	19	24.2863	5	no
BMW 330ci Convertible	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXB03.0UL2	small car	7	N/A	17	26	20	26.4608	6	yes
BMW 330ci Convertible	3	(6 cyl)	Auto-S5	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	16	23	19	24.2863	5	no
BMW 330ci Convertible	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXB03.0UL2	small car	6	N/A	17	26	20	26.4608	6	no
BMW 330i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	17	25	20	25.6018	6	yes
BMW 330i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	27	21	27.7593	6	yes
BMW 330i	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	28	21	27.647	6	yes
BMW 330i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	17	25	20	25.6018	6	no
BMW 330i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	27	21	27.7593	6	no
BMW 330i	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	28	21	27.647	6	no
BMW 330xi	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	17	26	20	26.243	6	yes
BMW 330xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	small car	7	N/A	18	25	20	26.4103	6	yes
BMW 330xi	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	17	26	20	26.243	6	no
BMW 330xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	small car	6	N/A	18	25	20	26.4103	6	no
BMW 525i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	27	21	27.7593	6	yes
BMW 525i	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	28	21	27.647	6	yes
BMW 525i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	27	21	27.7593	6	no
BMW 525i	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	28	21	27.647	6	no
BMW 525xi	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	17	26	20	26.243	6	yes
BMW 525xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	25	20	26.4103	6	yes
BMW 525xi	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	17	26	20	26.243	6	no
BMW 525xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	25	20	26.4103	6	no
BMW 530i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	17	25	20	25.6018	6	yes
BMW 530i	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	27	21	27.7593	6	yes
BMW 530i	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	28	21	27.647	6	yes
BMW 530i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	17	25	20	25.6018	6	no
BMW 530i	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	27	21	27.7593	6	no
BMW 530i	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	28	21	27.647	6	no
BMW 530xi	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	17	26	20	26.243	6	yes
BMW 530xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	midsize car	7	N/A	18	25	20	26.4103	6	yes
BMW 530xi	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	17	26	20	26.243	6	no
BMW 530xi	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	midsize car	6	N/A	18	25	20	26.4103	6	no
BMW 530xi Sport Wagon	3	(6 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV03.0N52	station wagon	7	N/A	17	26	20	26.243	6	yes
BMW 530xi Sport Wagon	3	(6 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV03.0N52	station wagon	7	N/A	18	25	20	26.4103	6	yes
BMW 530xi Sport Wagon	3	(6 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV03.0N52	station wagon	6	N/A	17	26	20	26.243	6	no
BMW 530xi Sport Wagon	3	(6 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV03.0N52	station wagon	6	N/A	18	25	20	26.4103	6	no
BMW 550i	4.8	(8 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV04.8UL2	midsize car	7	N/A	14	20	16	20.8973	4	no
BMW 550i	4.8	(8 cyl)	Man-6	2WD	Gasoline	CA	U2	6BMXV04.8UL2	midsize car	7	N/A	14	21	16	20.8142	4	no
BMW 550i	4.8	(8 cyl)	Auto-S6	2WD	Gasoline	CA	U2	6BMXV04.8UL2	midsize car	7	N/A	15	23	18	23.3908	5	no
BMW 550i	4.8	(8 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV04.8UL2	midsize car	6	N/A	14	20	16	20.8973	4	no
BMW 550i	4.8	(8 cyl)	Man-6	2WD	Gasoline	FA	B5	6BMXV04.8UL2	midsize car	6	N/A	14	21	16	20.8142	4	no
BMW 550i	4.8	(8 cyl)	Auto-S6	2WD	Gasoline	FA	B5	6BMXV04.8UL2	midsize car	6	N/A	15	23	18	23.3908	5	no
